rank,total_amount_eth,total_amount_usd,address_short,last_campaign_end,last_found_date,min_unclaimed_days,max_unclaimed_days,avg_unclaimed_days,avg_claim_probability,total_campaigns,unique_tokens,unique_chains,max_score,total_expected_value,urgency,profit_tier,value_density,inactivity_score,time_decay_risk,recommended_action,opportunity_type,tokens_breakdown,chains_breakdown,whale_flag,is_diversified,address_score
1479,0.00841202,18.37,0x1d55...a436,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.020601,4.59,low,micro,2.14,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0084ETH,Base:0.0084ETH,no,no,32.0227
1497,0.0083099,18.15,0x98a6...9ab9,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.015494999999998,4.54,low,micro,2.12,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0083ETH,Base:0.0083ETH,no,no,32.017
1515,0.0081501,17.8,0x32ab...1092,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,30.007505,4.45,low,micro,2.08,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0082ETH,Base:0.0082ETH,no,no,32.0083
1533,0.00802987,17.54,0x7a1f...e6f6,2026-04-16,2026-04-13,0.0,0.0,0.0,57.0,1,1,1,19.5014935,3.51,low,micro,2.05,very_low,very_high,monitor_monthly,speculative,PYUSD:0.008ETH,Ethereum:0.008ETH,no,no,20.4516
1551,0.00788804,17.22,0xab3f...bef9,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.697201,4.3,low,micro,1.0,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0079ETH,Arbitrum:0.0079ETH,no,no,33.4641
1569,0.00768226,16.78,0xae9b...4fe7,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.6920565,4.2,low,micro,0.98,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0077ETH,Arbitrum:0.0077ETH,no,no,33.4533
1587,0.00751397,16.41,0x1473...2f2a,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.975698499999996,4.1,low,micro,1.91,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0075ETH,Base:0.0075ETH,no,no,31.9733
1605,0.00741394,16.2,0x6913...a902,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.6853485,4.04,low,micro,0.94,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0074ETH,Arbitrum:0.0074ETH,no,no,33.4392
1623,0.00725541,15.85,0xc7e1...81b2,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.962770499999998,3.96,low,micro,1.85,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0073ETH,Base:0.0073ETH,no,no,31.959
1641,0.007076830000000001,15.46,0x0cc1...9b36,2026-04-16,2026-04-13,0.0,3.0,1.5,88.0,2,1,1,28.632537,3.8600000000000003,low,micro,1.18,very_low,very_high,monitor_monthly,high_confidence_low_value,QUICK:0.0071ETH,Base:0.0071ETH,no,no,31.1171
1659,0.00694296,15.16,0xcbd9...e6f5,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.947148,3.79,low,micro,1.77,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0069ETH,Base:0.0069ETH,no,no,31.9419
1677,0.006795,14.84,0x3a1e...19c0,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.939749999999997,3.71,low,micro,1.73,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0068ETH,Base:0.0068ETH,no,no,31.9337
1695,0.0067448,14.73,0x4d1c...e465,2026-04-30,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.43724,3.68,low,micro,1.72,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0067ETH,Ethereum:0.0067ETH,no,no,26.981
